ko,en
나는 오늘 밤에 집에서 책을 읽을 거야.,I'm going to read a book at home tonight.
사과를 먹으면 건강에 좋아요.,Eating apples is good for your health.
오늘은 날씨가 정말 좋네요.,The weather is really nice today.
나는 내일 학교에 가야 해.,I have to go to school tomorrow.
우리는 함께 공원에서 산책할 거예요.,We're going to take a walk in the park together.
이 책을 읽는 것이 정말 재미있어요.,Reading this book is really enjoyable.
나는 노래를 부르는 것을 좋아해요.,I like singing.
오늘 밤에는 친구들과 영화를 볼 거예요.,I'm going to watch a movie with friends tonight.
저는 커피를 좋아하지 않아요.,I don't like coffee.
내일은 내 생일이에요!,Tomorrow is my birthday!
이 문제를 해결하는 데 시간이 걸렸어요.,It took time to solve this problem.
이 음식은 매우 맛있어요.,This food is very delicious.
나는 여름에 바다에 가는 것을 좋아해요.,I like going to the beach in the summer.
우리는 함께 캠핑을 갈 거예요.,We're going camping together.
그는 항상 미소 짓고 있어요.,He's always smiling.
내일은 우리가 산책을 가기 좋은 날씨예요.,Tomorrow will be a good day for a walk.
나는 요리를 하는 것을 좋아해요.,I like cooking.
나는 스포츠를 보는 것을 좋아하지 않아요.,I don't like watching sports.
저는 피아노를 연주할 수 있어요.,I can play the piano.
그녀는 매우 예쁘네요.,She's very pretty.
우리는 함께 공연을 갈 거예요.,We're going to see a show together.
나는 개를 키우고 있어요.,I have a dog.
내일은 비가 올 거예요.,It's going to rain tomorrow.
이 음악은 정말 멋있어요.,This music is really cool.
나는 이 책을 읽고 있어요.,I'm reading this book.
우리는 함께 여행을 갈 거예요.,We're going on a trip together.
그는 탁구를 잘 치네요.,He's good at playing table tennis.
내일은 시험이 있어요.,There's an exam tomorrow.
나는 노래를 듣는 것을 좋아해요.,I like listening to music.
그녀는 매우 친절해요.,She's very kind.
우리는 함께 파티에 갈 거예요.,We're going to a party together.
그는 축구를 잘 해요.,He's good at playing soccer.
오늘은 날씨가 매우 춥네요.,It's very cold today.
나는 컴퓨터 게임을 하는 것을 좋아해요.,I like playing computer games.
내일은 우리가 가족들과 저녁을 먹을 거예요.,Tomorrow we're going to have dinner with our family.
그는 독서가 취미에요.,He likes reading as a hobby.
저는 고양이를 키우고 있어요.,I have a cat.
나는 운동을 하는 것을 좋아해요.,I like exercising.
나는 오늘 빨리 일어났어요.,I woke up early today.
우리는 함께 음악을 듣고 있어요.,We're listening to music together.
나는 요리를 배우고 있어요.,I'm learning how to cook.
오늘은 우리가 산책하기 좋은 날씨예요.,Today is a good day for a walk.
나는 매일 책을 읽어요.,I read books every day.
나는 바다를 보는 것을 좋아해요.,I like watching the sea.
우리는 함께 영화를 보고 있어요.,We're watching a movie together.
그는 요리를 잘 해요.,He's good at cooking.
나는 운동을 시작하려고 해요.,I'm going to start exercising.
우리는 함께 쇼핑을 갈 거예요.,We're going shopping together.
나는 이 책을 읽고 싶어요.,I want to read this book.
우리는 함께 춤을 출 거예요.,We're going to dance together.
그는 체스를 잘 해요.,He's good at playing chess.
나는 피아노를 배우고 있어요.,I'm learning how to play the piano.
우리는 함께 파티에 가요.,We're going to a party together.
그는 독서를 좋아해요.,He likes reading.
나는 오늘 친구를 만날 거예요.,I'm going to meet my friend today.
우리는 함께 음악을 연주할 거예요.,We're going to play music together.
그녀는 정말 똑똑해요.,She's really smart.
나는 오늘 빨래를 해야 해요.,I have to do laundry today.
우리는 함께 피크닉을 할 거예요.,We're going to have a picnic together.
나는 공원에서 산책을 좋아해요.,I like taking walks in the park.
그는 수영을 잘 해요.,He's good at swimming.
나는 햇빛을 즐기는 것을 좋아해요.,I like enjoying the sunlight.
우리는 함께 축구를 할 거예요.,We're going to play soccer together.
그는 매일 운동을 해요.,He exercises every day.
나는 오늘 친구와 만나기로 했어요.,I decided to meet my friend today.
우리는 함께 영화를 볼 거예요.,We're going to watch a movie together.
그녀는 정말 예쁘네요.,She's really beautiful.
나는 오늘 책을 읽으려고 해요.,I'm going to read a book today.
우리는 함께 노래를 부를 거예요.,We're going to sing together.
그는 축구를 좋아해요.,He likes soccer.
나는 휴가 때마다 해변에 가요.,I go to the beach every vacation.
우리는 함께 점심을 먹을 거예요.,We're going to have lunch together.
그녀는 매우 친절하고 예의 바르네요.,She's very kind and polite.
나는 오늘 밤에 영화를 볼 거예요.,I'm going to watch a movie tonight.
우리는 함께 공연을 보러 갈 거예요.,We're going to see a show together.
그는 산책을 즐기는 것을 좋아해요.,He enjoys taking walks.
나는 영화를 보는 것을 좋아해요.,I like watching movies.
우리는 함께 바다로 여행을 갈 거예요.,We're going to travel to the sea together.
그녀는 정말 친절하고 착해요.,She's really kind and nice.
나는 오늘 공원에서 산책할 거예요.,I'm going to take a walk in the park today.
우리는 함께 피자를 먹을 거예요.,We're going to eat pizza together.
그는 축구를 좋아하고 똑똑해요.,He likes soccer and he's smart.
나는 요리를 배우려고 노력하고 있어요.,I'm trying to learn how to cook.
우리는 함께 공부할 거예요.,We're going to study together.
그녀는 정말 친절하고 예쁘네요.,She's really kind and pretty.
나는 오늘 카페에서 책을 읽을 거예요.,I'm going to read a book at a cafe today.
우리는 함께 공원에서 피크닉을 할 거예요.,We're going to have a picnic in the park together.
그는 여행을 좋아해요.,He likes traveling.
나는 오늘 밤에 별을 보러 갈 거예요.,I'm going to see the stars tonight.
우리는 함께 요리를 해 먹을 거예요.,We're going to cook and eat together.
그는 공부를 열심히 해요.,He studies hard.
나는 이번 주말에 파티를 열 거예요.,I'm going to have a party this weekend.
우리는 함께 공연을 관람할 거예요.,We're going to watch a performance together.
그는 정말 재능 있어요.,He's really talented.
나는 오늘 오후에 운동을 할 거예요.,I'm going to exercise this afternoon.
우리는 함께 커피를 마실 거예요.,We're going to drink coffee together.
그는 음악을 듣는 것을 좋아해요.,He likes listening to music.
나는 이번 주에 새로운 레시피를 시도할 거예요.,I'm going to try a new recipe this week.
우리는 함께 영화를 보러 올 거예요.,We're going to watch a movie together.
그는 요리를 배우고 있어요.,He's learning how to cook.
새로운 시작은 언제나 설레게 만들어요.,A new beginning always makes me excited.
고마워요. 나에게 큰 도움이 되었어요.,Thank you. It was a great help to me.
우리는 언제나 함께 할 거예요.,We will always be together.
이 책은 내 생각을 바꿔 놓았어.,This book has changed my way of thinking.
당신은 정말 특별해요.,You are truly special.
오늘 밤은 맑고 조용해요.,Tonight is clear and quiet.
나는 항상 너를 응원할게.,I will always support you.
그림을 그리는 것은 나를 행복하게 해요.,Drawing makes me happy.
네가 그런 말을 할 줄 몰랐어.,I didn't expect you to say that.
나는 곧 당신을 다시 만날 수 있을 거예요.,I'll be able to see you again soon.
일하는 동안 음악을 듣는 걸 좋아해요.,I like listening to music while working.
너무 많은 걱정은 건강에 좋지 않아요.,Too much worry is not good for your health.
미래에 대한 두려움을 버려야 해요.,You need to let go of your fear of the future.
누군가의 행복을 위해 노력하는 건 중요해요.,It's important to strive for someone's happiness.
우리는 이 문제를 함께 해결할 수 있어요.,We can solve this problem together.
나는 노래를 부르는 걸 좋아해요.,I enjoy singing.
우리는 어디서든 행복을 찾을 수 있어요.,We can find happiness anywhere.
이 책은 나에게 큰 영감을 주었어요.,This book has inspired me greatly.
나는 너에게 많은 것을 감사해요.,I am grateful to you for many things.
너무 걱정하지 마세요.,Don't worry too much.
오늘 하루도 고생 많았어요.,You've worked hard today.
너는 내게 있어 소중한 사람이에요.,You are a precious person to me.
우리는 언제나 서로를 이해할 수 있어야 해요.,We should always be able to understand each other.
우리는 함께 성장할 거예요.,We will grow together.
너는 내 인생에서 가장 큰 축복이에요.,You are the greatest blessing in my life.
날씨가 너무 좋아서 밖에 나가고 싶어요.,The weather is so nice that I want to go outside.
이 순간이 영원히 계속되면 좋겠어요.,I wish this moment could last forever.
그 문제는 우리가 함께 해결할 수 있어요.,We can solve that problem together.
나는 네 꿈을 응원할 거야.,I will support your dreams.
너는 항상 나를 웃게 만들어.,You always make me smile.
나는 당신을 절대 잊지 않을 거예요.,I will never forget you.
우리는 단단한 결실을 맺을 거예요.,We will bear fruit firmly.
너무 슬프지 말아요.,Don't be too sad.
우리는 서로를 더 잘 이해할 수 있도록 노력해야 해요.,We should try to understand each other better.
그것은 내게 큰 의미를 갖고 있어요.,It means a lot to me.
힘들 때면 언제나 내가 옆에 있을 거예요.,I will always be by your side when times are tough.
나는 네가 할 수 있을 거라고 믿어.,I believe you can do it.
너는 내가 얼마나 사랑하는지 모를 거야.,You won't know how much I love you.
우리는 함께 성장하며 서로를 이해할 거예요.,We will grow together and understand each other.
나는 네가 그런 생각을 할 줄 몰랐어.,I didn't know you would think that.
나는 네가 어디 있든지 널 사랑할 거야.,I will love you wherever you are.
오늘은 정말 기분이 좋아.,I feel really good today.
너는 내 인생의 가장 큰 축복이야.,You are the greatest blessing in my life.
이 순간이 영원히 계속되길 바라.,I hope this moment lasts forever.
그 문제는 우리가 함께 해결할 수 있을 거야.,We can solve that problem together.
나는 네 꿈을 응원할 거야.,I will support your dreams.
너는 항상 나를 웃게 만들어.,You always make me smile.
나는 당신을 절대로 잊지 않을 거야.,I will never forget you.
우리는 단단한 결실을 맺을 거야.,We will bear fruit firmly.
너무 슬프지 않기를 바랄게.,I hope you're not too sad.
우리는 서로를 더 잘 이해할 수 있도록 노력해야 해.,We should try to understand each other better.
그것은 내게 많은 의미를 갖고 있어.,It means a lot to me.
힘들 때면 언제나 내가 네 곁에 있을 거야.,I will always be by your side when times are tough.
나는 너를 지지해.,I support you.
너는 내가 얼마나 사랑하는지 모를 거야.,You won't know how much I love you.
나는 네가 할 수 있을 거라 믿어.,I believe you can do it.
너는 내 인생의 가장 큰 축복이야.,You are the greatest blessing in my life.
오늘은 정말 기분이 좋아.,I feel really good today.
너는 내 인생의 가장 큰 축복이야.,You are the greatest blessing in my life.
이 순간이 영원히 계속되길 바라.,I hope this moment lasts forever.
그 문제는 우리가 함께 해결할 수 있을 거야.,We can solve that problem together.
나는 네 꿈을 응원할 거야.,I will support your dreams.
너는 항상 나를 웃게 만들어.,You always make me smile.
나는 당신을 절대로 잊지 않을 거야.,I will never forget you.
우리는 단단한 결실을 맺을 거야.,We will bear fruit firmly.
너무 슬프지 않기를 바랄게.,I hope you're not too sad.
우리는 서로를 더 잘 이해할 수 있도록 노력해야 해.,We should try to understand each other better.
그것은 내게 많은 의미를 갖고 있어.,It means a lot to me.
힘들 때면 언제나 내가 네 곁에 있을 거야.,I will always be by your side when times are tough.
나는 너를 지지해.,I support you.
너는 내가 얼마나 사랑하는지 모를 거야.,You won't know how much I love you.
나는 네가 할 수 있을 거라 믿어.,I believe you can do it.
너는 내 인생의 가장 큰 축복이야.,You are the greatest blessing in my life.
오늘은 정말 기분이 좋아.,I feel really good today.
너는 내 인생의 가장 큰 축복이야.,You are the greatest blessing in my life.
이 순간이 영원히 계속되길 바라.,I hope this moment lasts forever.
그 문제는 우리가 함께 해결할 수 있을 거야.,We can solve that problem together.
나는 네 꿈을 응원할 거야.,I will support your dreams.
너는 항상 나를 웃게 만들어.,You always make me smile.
나는 당신을 절대로 잊지 않을 거야.,I will never forget you.
우리는 단단한 결실을 맺을 거야.,We will bear fruit firmly.
너무 슬프지 않기를 바랄게.,I hope you're not too sad.
우리는 서로를 더 잘 이해할 수 있도록 노력해야 해.,We should try to understand each other better.
그것은 내게 많은 의미를 갖고 있어.,It means a lot to me.
힘들 때면 언제나 내가 네 곁에 있을 거야.,I will always be by your side when times are tough.
나는 너를 지지해.,I support you.
너는 내가 얼마나 사랑하는지 모를 거야.,You won't know how much I love you.
나는 네가 할 수 있을 거라 믿어.,I believe you can do it.
너는 내 인생의 가장 큰 축복이야.,You are the greatest blessing in my life.
오늘은 정말 기분이 좋아.,I feel really good today.
너는 내 인생의 가장 큰 축복이야.,You are the greatest blessing in my life.
이 순간이 영원히 계속되길 바라.,I hope this moment lasts forever.
그 문제는 우리가 함께 해결할 수 있을 거야.,We can solve that problem together.
나는 네 꿈을 응원할 거야.,I will support your dreams.
너는 항상 나를 웃게 만들어.,You always make me smile.
나는 당신을 절대로 잊지 않을 거야.,I will never forget you.
우리는 단단한 결실을 맺을 거야.,We will bear fruit firmly.
너무 슬프지 않기를 바랄게.,I hope you're not too sad.
우리는 서로를 더 잘 이해할 수 있도록 노력해야 해.,We should try to understand each other better.
그것은 내게 많은 의미를 갖고 있어.,It means a lot to me.
